  lat     long      exx        eyy        exy      var(exx)   var(eyy)   var(exy)  cc_xx_yy  cc_xx_xy  cc_yy_xy
-64.250 -171.900  0.247E+03  0.951E+02 -0.141E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -171.300  0.866E+02  0.294E+03 -0.177E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -170.700  0.914E+02  0.328E+03 -0.212E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -170.100  0.113E+03  0.371E+03 -0.279E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -169.500  0.173E+03  0.605E+03 -0.486E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -168.900  0.263E+03  0.615E+03 -0.488E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-64.250 -168.300  0.472E+03  0.106E+03 -0.224E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  171.900 -0.122E+03  0.116E+03  0.585E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  172.500 -0.142E+03  0.395E+03 -0.630E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  173.100 -0.273E+03  0.616E+03 -0.120E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  173.700 -0.455E-12  0.698E+03 -0.290E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  174.300 -0.396E+03  0.563E+03 -0.284E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750  174.900 -0.157E+03  0.119E+03  0.706E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750 -168.900  0.487E+03  0.913E+02 -0.216E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750 -168.300  0.243E+03  0.599E+03 -0.513E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750 -167.700  0.178E+03  0.637E+03 -0.464E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750 -167.100  0.205E+03  0.388E+03 -0.289E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.750 -166.500  0.366E+03  0.913E+02 -0.164E+03  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  167.700 -0.660E+02  0.295E+02 -0.107E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  168.300 -0.613E+02  0.125E+03 -0.366E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
-63.250  168.900 -0.600E+02  0.219E+03 -0.666E+02  0.000E+00  0.000E+00  0.000E+00   0.000     0.000     0.000
