lat,long,exx,eyy,exy,var_exx,var_eyy,var_exy,cc_xx_yy,cc_xx_xy,cc_yy_xy
-64.25,-168.9,2.63E+02,6.15E+02,-4.88E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-64.25,-168.3,4.72E+02,1.06E+02,-2.24E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,171.9,-1.22E+02,1.16E+02,5.85E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,172.5,-1.42E+02,3.95E+02,-6.30E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,173.1,-2.73E+02,6.16E+02,-1.20E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,173.7,-4.55E-13,6.98E+02,-2.90E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,174.3,-3.96E+02,5.63E+02,-2.84E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,174.9,-1.57E+02,1.19E+02,7.06E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,-168.9,4.87E+02,9.13E+01,-2.16E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,-168.3,2.43E+02,5.99E+02,-5.13E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,-167.7,1.78E+02,6.37E+02,-4.64E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,-167.1,2.05E+02,3.88E+02,-2.89E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.75,-166.5,3.66E+02,9.13E+01,-1.64E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,167.7,-6.60E+01,2.95E+01,-1.07E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,168.3,-6.13E+01,1.25E+02,-3.66E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,168.9,-6.00E+01,2.19E+02,-6.66E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,169.5,-2.53E+01,3.02E+02,-1.05E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,170.1,-5.86E+01,3.92E+02,-1.09E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,170.7,-2.41E+02,5.95E+02,-1.06E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,171.3,-2.27E-13,6.92E+02,-2.84E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,171.9,-2.95E+02,5.86E+02,-7.98E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,172.5,-1.45E+02,3.02E+02,-2.72E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,173.1,-9.33E+01,8.08E+01,2.84E+01,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-167.7,3.57E+02,6.75E+01,-1.38E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
-63.25,-167.1,2.22E+02,3.16E+02,-2.97E+02,0.00E+00,0.00E+00,0.00E+00,0,0,0
